Model_Name,Year,Km_Driven,Fuel_Type,Transmission,Ownership,Engine_CC,Seats,resale_price
City V Petrol [2017-2019],2017,64000,Petrol,Manual,1,1497,5,645000
Polo Highline1.2L (D),2013,78000,Diesel,Manual,1,1199,5,365000
Vitara Brezza ZXi Plus,2021,24000,Petrol,Manual,1,1462,5,1044999
Eeco 7 STR [2019-2020],2019,40310,Petrol,Manual,2,1196,7,515000
Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],2015,69700,Petrol,Automatic,1,1197,5,455000
X3 xDrive20d,2012,74073,Diesel,Automatic,1,1995,5,1800000
Fortuner 2.8 4x2 AT [2016-2020],2019,73000,Diesel,Automatic,1,2755,7,3499000
Civic 1.8S MT,2006,130000,Petrol,Manual,3,1799,5,190000
A4 2.0 TDI (143 bhp),2012,50000,Diesel,Automatic,1,,,1250000
Swift ZXi Plus AMT,2021,24000,Petrol,Automatic,1,1197,5,775000
Elite i20 Sportz 1.5 MT Diesel,2021,43000,Diesel,Manual,1,1493,5,825000
A3 35 TDI Technology + Sunroof,2016,40500,Diesel,Automatic,1,1968,5,2250000
City V CVT Petrol [2017-2019],2017,49013,Petrol,Automatic,1,1497,5,865000
Figo Duratorq Diesel Titanium 1.4,2013,64983,Diesel,Manual,1,1399,5,299000
Jazz VX Petrol,2017,92270,Petrol,Manual,1,1199,5,570000
Polo Highline1.2L (P),2013,65000,Petrol,Manual,1,1198,5,385000
Amaze 1.5 SX i-DTEC,2014,110000,Diesel,Manual,1,1498,5,350000
Camry 2.5L AT,2017,47000,Petrol,Automatic,1,2494,5,2345000
Thar LX 4-STR Hard Top Petrol AT,2022,10000,Petrol,Automatic,1,1997,4,1650000
C-Class 250 CDI Elegance,2011,51500,Diesel,Automatic,2,2143,5,1100000
Q3 35 TDI quattro Premium Plus,2018,35000,Diesel,Automatic,1,1968,5,2900000
Baleno Sigma 1.2,2017,61518,Petrol,Manual,1,1197,5,545000
X1 sDrive20d xLine,2018,34000,Diesel,Automatic,1,1995,5,2990000
Baleno Zeta 1.2,2017,36058,Petrol,Manual,1,1197,5,615000
Creta 1.6 SX Plus AT,2016,88000,Diesel,Automatic,1,1582,5,890000
Vento Comfortline Petrol,2015,98112,Petrol,Manual,1,1598,5,430000
C-Class 220 BlueEfficiency,2013,58000,Diesel,Automatic,1,2143,5,1650000
Camry Hybrid,2015,92355,Petrol,Automatic,1,2494,5,1599000
DZire VXi,2019,16652,Petrol,Manual,1,1197,5,691000
Terrano XV D THP 110 PS,2016,76584,Diesel,Manual,1,1461,5,650000
Wagon R LXI CNG,2015,42500,CNG,Manual,1,998,5,415000
Vitara Brezza LDi (O) [2016-2018],2016,70000,Diesel,Manual,1,1248,5,669000
X5 xDrive30d Pure Experience (5 Seater),2015,84700,Diesel,Automatic,2,2993,5,2950000
GLC 220 d Sport,2018,83400,Diesel,Automatic,2,,,3900000
Cayenne Coupe Platinum Edition,2022,2766,Petrol,Automatic,1,2995,4,16200000
C-Class Cabriolet C 300,2017,56000,Petrol,Automatic,2,1991,4,5100000
Elite i20 Magna 1.2,2015,68766,Petrol,Manual,1,1197,5,525000
Verna 1.6 VTVT SX,2018,16339,Petrol,Manual,1,1591,5,750000
Amaze 1.2 SX i-VTEC,2016,63882,Petrol,Manual,1,1198,5,445000
Corolla Altis 1.8 G,2012,28732,Petrol,Manual,1,1798,5,493000
Elite i20 Sportz 1.2 (O),2017,51349,Petrol,Manual,1,1197,5,611000
Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],2014,61866,Petrol,Automatic,1,1197,5,475000
Creta SX Plus 1.6  Petrol,2017,29401,Petrol,Manual,1,1591,5,925000
A6 2.0 TDI Premium,2012,98580,Diesel,Automatic,1,1968,5,1325000
X1 sDrive20d xLine,2021,8000,Diesel,Automatic,1,1995,5,3900000
XUV300 W8 (O) 1.5 Diesel,2020,31348,Diesel,Manual,1,1497,5,1299000
Swift ZDi Plus,2018,28851,Diesel,Manual,1,1248,5,580000
Brio S MT,2013,38175,Petrol,Manual,1,,,229000
Thar LX 4-STR Hard Top Petrol MT,2021,8519,Petrol,Manual,1,1997,4,1575000
City 1.5 S MT,2011,78000,Petrol,Manual,1,1497,5,375000
E-Class E 250 CDI Avantgarde,2015,48000,Diesel,Automatic,1,2143,5,2250000
Fortuner 3.0 4x2 AT,2014,143000,Diesel,Automatic,2,2982,7,1400000
Zest XM 75 PS Diesel,2017,39000,Diesel,Manual,1,1248,5,425000
Rapid Ambition 1.6 MPI AT Plus,2014,24000,Petrol,Automatic,2,1598,5,425000
Alto 800 Lxi,2015,62000,Petrol,Manual,2,796,5,250000
Ertiga VDi,2012,78000,Diesel,Manual,2,1248,7,425000
Santro GL LPG,2009,48500,LPG,Manual,4,1086,5,120000
Figo Duratorq Diesel ZXI 1.4,2014,82000,Diesel,Manual,2,1399,5,235000
A3 35 TDI Technology + Sunroof,2020,40910,Diesel,Automatic,1,1968,5,3050000
Harrier XZ Plus,2020,10290,Diesel,Manual,1,1956,5,2145000
Elite i20 Asta (O) 1.0 Turbo DCT,2021,10530,Petrol,Automatic,1,998,5,1245000
Elite i20 Asta 1.2,2015,61900,Petrol,Manual,1,1197,5,549000
Polo Highline1.2L (D),2013,78000,Diesel,Manual,2,1199,5,484999
Swift DZire VXI,2014,57402,Petrol,Manual,1,1197,5,415000
Santro GL (CNG),2013,57000,CNG,Manual,1,1086,5,200000
Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],2015,87500,Petrol,Manual,1,1197,5,375000
Nexon EV XZ Plus,2021,16000,Electric,Automatic,1,,5,1375000
Creta SX (O) 1.4 Turbo 7 DCT Dual Tone [2022-2022],2022,18000,Petrol,Automatic,1,1353,5,1875000
Q2 Premium Plus I 40 TFSI quattro,2020,10700,Petrol,Automatic,1,1984,5,2950000
Q7 45 TDI Premium Plus,2018,78000,Diesel,Automatic,1,2967,7,4900000
Elite i20 Asta (O) 1.0 Turbo DCT,2020,16282,Petrol,Automatic,1,998,5,1050000
Verna Fluidic 1.6 CRDi SX,2013,66000,Diesel,Manual,3,1582,5,470000
Wagon R VXI,2017,72019,Petrol,Manual,2,998,5,345000
5-Series 520d Sedan,2013,195000,Diesel,Automatic,1,1995,5,1490000
Scorpio 2.6 Turbo 7 Str,2007,92170,Diesel,Manual,2,2609,7,550000
Grand i10 Magna 1.2 Kappa VTVT [2013-2016],2018,55221,Petrol,Manual,1,1197,5,484999
Fortuner 2.8 4x2 AT [2016-2020],2018,25000,Diesel,Automatic,1,2755,7,3350000
Ritz VXI BS-IV,2011,58888,Petrol,Manual,2,,,210000
Q5 45 TFSI Premium Plus,2022,1,Petrol,Automatic,0,1984,5,5651000
Duster RXS 1.5 Petrol MT,2020,23500,Petrol,Manual,1,1498,5,890000
Swift DZire VXI,2012,68000,Petrol,Manual,2,1197,5,325000
Creta SX 1.6 AT Petrol,2019,29096,Petrol,Automatic,1,1591,5,1390000
Grand i10 Magna 1.2 Kappa VTVT [2013-2016],2016,61223,Petrol,Manual,1,1197,5,459999
Compass Limited (O) 2.0 Diesel [2017-2020],2017,86000,Diesel,Manual,1,1956,5,1075000
Verna EX 1.6 CRDi [2017-2018],2013,87000,Diesel,Manual,1,1582,5,484999
i20 Magna 1.2,2013,79287,Petrol,Manual,1,1197,5,385000
GLC 220 d Sport,2018,47009,Diesel,Automatic,2,,,4400000
A6 35 TDI Matrix,2018,48945,Diesel,Automatic,1,1968,5,3900000
Marazzo M2 8 STR,2019,17000,Diesel,Manual,1,1497,8,1050000
Seltos HTX Plus 1.5 Diesel [2020-2021],2019,55000,Diesel,Manual,1,1493,5,1575000
Baleno Alpha 1.2,2016,38779,Petrol,Manual,1,1197,5,655000
E-Class E 220d Expression [2019-2019],2019,72000,Diesel,Automatic,1,1950,5,4500000
Ertiga ZDI + SHVS,2016,67000,Diesel,Manual,1,1248,7,865000
Verna Fluidic 1.6 VTVT SX,2017,67000,Petrol,Manual,1,1591,5,699000
Verna Fluidic 1.6 CRDi SX,2012,70000,Diesel,Manual,2,1582,5,425000
Discovery Sport S,2020,6000,Diesel,Automatic,1,1999,7,6500000
Fortuner 2.8 4x2 AT [2016-2020],2017,46000,Diesel,Automatic,1,2755,7,2900000
GLE 250 d,2017,34000,Diesel,Automatic,1,2143,5,4550000
Xcent S 1.2 (O),2015,23103,Petrol,Manual,1,1197,5,490000
S-Class Maybach S 500,2016,27000,Petrol,Automatic,1,4663,4,11500000
Creta SX 1.6 AT Petrol,2019,9576,Petrol,Automatic,1,1591,5,1475000
Hector Sharp 1.5 DCT Petrol [2019-2020],2020,27000,Petrol,Automatic,1,1451,5,1729000
Astor Sharp 1.5 CVT,2021,1942,Petrol,Automatic,1,1498,5,1764999
CR-V 2.4 AT,2006,119300,Petrol,Automatic,3,2354,5,250000
Alto 800 Lxi,2016,55000,Petrol,Manual,1,796,5,245000
Duster 85 PS RxL,2015,98000,Diesel,Manual,2,1461,5,490000
Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],2017,61400,Petrol,Manual,1,1197,5,550000
City V,2016,87693,Petrol,Manual,1,1497,5,675000
C-Class C 200 Avantgarde,2015,31000,Petrol,Automatic,1,1991,5,2225000
Elite i20 Asta 1.4 (O) CRDi,2016,75210,Diesel,Manual,1,1396,5,560000
Fabia Elegance 1.6 MPI,2012,69000,Petrol,Manual,1,1598,5,225000
Rapid 1.5 TDI CR Ambition Plus AT,2014,88000,Diesel,Automatic,2,1498,5,499000
Sonet GTX Plus 1.0 DCT [2020-2021],2020,15000,Petrol,Automatic,1,998,5,1055000
XUV500 W11 AT,2020,45350,Diesel,Automatic,1,2179,7,2048999
3-Series 320d Luxury Line,2018,68189,Diesel,Automatic,1,1995,5,2775000
GLA 200 CDI Sport,2015,75000,Diesel,Automatic,1,2143,5,1650000
Wagon R VXi,2013,45000,Petrol,Manual,1,998,5,350000
A6 35 TDI Premium,2014,33000,Diesel,Automatic,2,1968,5,1450000
Scorpio VLX 2WD BS-IV,2014,83000,Diesel,Manual,2,2179,8,600000
5-Series 520d Sedan,2012,78000,Diesel,Automatic,1,1995,5,1250000
Fortuner 3.0 4x4 MT,2014,211000,Diesel,Manual,1,2982,7,1675000
Elite i20 Magna 1.2,2015,67000,Petrol,Manual,1,1197,5,575000
Ecosport Titanium+ 1.5L TDCi,2017,75000,Diesel,Manual,1,1498,5,699000
Q7 3.0 TDI quattro Premium Plus,2014,48600,Diesel,Automatic,2,2967,6,2450000
C-Class C 250 d,2016,48000,Diesel,Automatic,1,2143,5,2775000
S-Presso VXi,2020,5790,Petrol,Manual,1,998,5,430000
Scorpio S5 2WD 7 STR,2018,32000,Diesel,Manual,1,2179,7,1165000
Hector Sharp 2.0 Diesel Turbo MT,2020,65433,Diesel,Manual,1,1956,5,1780000
Swift VDi BS-IV,2011,87230,Diesel,Manual,1,1248,5,295000
Swift ZDi,2017,38258,Diesel,Manual,2,1248,5,495000
City VX (O) MT,2019,56881,Petrol,Manual,1,1497,5,975000
Innova 2.5 G4 7 STR,2013,76000,Diesel,Manual,2,2494,7,645000
Duster 110 PS RxL Diesel,2014,72000,Diesel,Manual,2,1461,5,425000
Q3 2.0 TDI quattro Premium,2012,72000,Diesel,Automatic,0,1968,5,1350000
M-Class 350 CDI,2014,60514,Diesel,Automatic,1,2987,5,3200000
V40 Cross Country D3,2013,71141,Diesel,Automatic,1,1984,5,1250000
5-Series 530d M Sport [2013-2017],2018,40937,Diesel,Automatic,1,2993,5,5600000
Swift DZire VDI,2013,37000,Diesel,Manual,1,1248,5,560000
Scorpio S5 2WD 7 STR,2019,46000,Diesel,Manual,1,2179,7,1221000
X5 xDrive 30d M Sport,2015,86999,Diesel,Automatic,1,2993,5,2975000
City 1.5 S AT,2009,70200,Petrol,Automatic,2,1497,5,295000
C-Class 200 CGI,2012,64800,Petrol,Automatic,1,1796,5,1300000
Creta 1.6 SX Plus AT,2016,73000,Diesel,Automatic,1,1582,5,950000
E-Class E350 CDI Avantgarde,2012,72000,Diesel,Automatic,2,2987,5,1350000
M-Class ML 350 CDI,2015,76345,Diesel,Automatic,1,2997,5,2682000
Alto 800 Lxi,2017,40564,Petrol,Manual,1,796,5,286000
i20 Magna 1.4 CRDI,2013,98500,Diesel,Manual,1,1336,5,340000
Rapid Style AT,2020,46807,Petrol,Automatic,1,999,5,1125000
Nexon XMA Petrol,2018,81000,Petrol,Automatic,1,1198,5,580000
Swift DZire VXI,2015,13716,Petrol,Manual,1,1197,5,495000
Swift DZire ZDI,2014,89000,Diesel,Manual,1,1248,5,550000
Sonet GTX Plus 1.5 AT [2020-2021],2021,13000,Diesel,Automatic,1,1493,5,1485000
Rapid Monte Carlo 1.6 MPI MT,2018,38000,Petrol,Manual,1,1598,5,885000
RS5 4.2 Coupe,2012,25500,Petrol,Automatic,2,4163,5,3650000
Grand i10 NIOS Magna AMT 1.2 Kappa VTVT,2020,17000,Petrol,Automatic,1,1197,5,715000
R-Class R350 4MATIC,2012,44724,Petrol,Automatic,1,3496,7,2485000
Innova 2.4 G 7 STR [2016-2017],2020,24549,Diesel,Manual,2,2393,7,2250000
Creta SX Plus 1.6 AT CRDI,2017,97000,Diesel,Automatic,1,1582,5,1050000
Fortuner 2.8 4x2 AT [2016-2020],2018,7800,Diesel,Automatic,1,2755,7,3600000
City 1.5 S MT,2010,78000,Petrol,Manual,1,1497,5,295000
Kwid RXT Opt,2019,55000,Petrol,Manual,1,799,5,375000
A6 2.0 TFSi Technology Pack,2021,20000,Petrol,Automatic,0,1984,5,7200000
Safari XZA Plus 6S Adventure New,2021,13594,Diesel,Automatic,1,1956,6,2395000
A6 2.0 TDI Premium,2014,75000,Diesel,Automatic,1,1968,5,1775000
Ritz Vdi BS-IV,2011,65000,Diesel,Manual,1,1248,5,275000
Brio EX MT,2014,43037,Petrol,Manual,1,1198,5,325000
Swift ZDi,2013,26000,Diesel,Manual,1,1248,5,425000
Scorpio S9 2WD 7 STR,2020,78000,Diesel,Manual,1,2179,7,1475000
Innova 2.8 GX AT 7 STR [2016-2020],2018,115000,Diesel,Automatic,1,2755,7,1580000
Amaze VX CVT 1.2 Petrol,2021,8700,Petrol,Automatic,1,1199,5,869000
GLE 250 d,2019,31000,Diesel,Automatic,1,2143,5,5850000
Compass Longitude Plus 2.0 Diesel 4x4 AT,2020,41736,Diesel,Automatic,1,1956,5,1900000
Levante Diesel,2017,40000,Diesel,Automatic,2,2979,5,9000000
Fortuner 2.8 4x2 AT [2016-2020],2020,55000,Diesel,Automatic,1,2755,7,3550000
Cayenne Turbo,2014,160000,Petrol,Automatic,1,4806,5,3500000
Innova GX 2.4 AT 7 STR,2022,11000,Diesel,Automatic,1,2393,7,2425000
X5 xDrive 30d,2018,24690,Diesel,Automatic,1,2993,7,5811000
Fortuner 3.0 MT,2011,117000,Diesel,Manual,2,2982,7,750000
Q7 35 TDI Premium + Sunroof,2014,95000,Diesel,Automatic,1,2967,7,2200000
Wagon R LXi 1.0 CNG [2019-2020],2019,76000,CNG,Manual,1,998,5,520000
Alto VXi (O),2018,18000,Petrol,Manual,1,998,5,390000
Ciaz VXi (O),2015,38000,Petrol,Manual,1,1373,5,540000
Swift VDi AMT [2018-2019],2018,43000,Diesel,Automatic,1,1248,5,699000
Verna Fluidic 1.6 CRDi SX,2013,107000,Diesel,Manual,1,1582,5,484999
C-Class C 43 AMG,2021,13000,Petrol,Automatic,1,2996,4,7500000
E-Class E250 CDI BlueEfficiency,2011,85000,Diesel,Automatic,2,2143,5,850000
Nexon XZA Plus Petrol,2018,8922,Petrol,Automatic,1,1198,5,1085000
Alto 800 Vxi,2013,47800,Petrol,Manual,1,796,5,319000
XUV500 W8,2012,143000,Diesel,Manual,1,2179,7,549000
Harrier XZ [2019-2020],2019,68758,Diesel,Manual,1,1956,5,1725000
Mobilio S Diesel,2015,72000,Diesel,Manual,2,1498,7,475000
Punch Creative iRA Pack MT,2022,7500,Petrol,Manual,1,1199,5,890000
Wagon R VXi,2012,37000,Petrol,Manual,2,998,5,235000
Grand i10 Magna 1.2 Kappa VTVT [2017-2020],2016,22402,Petrol,Manual,1,1197,5,445000
City V,2019,12382,Petrol,Manual,1,1497,5,1060000
Baleno Alpha 1.3,2017,61000,Diesel,Manual,1,1248,5,690000
F-Pace Prestige,2018,90868,Diesel,Automatic,1,1999,5,4200000
X5 xDrive30d Pure Experience (5 Seater),2015,84700,Diesel,Automatic,2,2993,5,2950000
Range Rover Sport SE 2.0 Petrol,2022,22010,Petrol,Automatic,1,1997,5,12500000
Fortuner 3.0 4x4 AT,2015,72000,Diesel,Automatic,2,2982,7,1750000
Kwid 1.0 RXT Edition,2018,75500,Petrol,Manual,1,999,5,395000
X1 sDrive20d Expedition,2018,25000,Diesel,Automatic,1,1995,5,2790000
Q3 35 TDI quattro Premium Plus,2018,38000,Diesel,Automatic,1,1968,5,2475000
Wagon R LXi Minor,2009,39586,Petrol,Manual,1,1061,5,145000
Elite i20 Asta 1.2 AT,2018,33647,Petrol,Automatic,1,1197,5,750000
3-Series 320d,2012,75576,Diesel,Automatic,2,,,800000
XUV500 W10,2016,86000,Diesel,Manual,1,2179,7,950000
Grand i10 Magna 1.2 Kappa VTVT [2013-2016],2018,57847,Petrol,Manual,1,1197,5,569000
Swift DZire VXI,2016,74000,Petrol,Manual,1,1197,5,470000
Cayenne Diesel,2015,58000,Diesel,Automatic,1,2967,5,5350000
Terrano XL D Plus,2014,85000,Diesel,Manual,2,1461,5,450000
Kwid 1.0 RXT [2016-2019],2016,26000,Petrol,Manual,1,999,5,299000
Creta SX (O) 1.4 Turbo 7 DCT Dual Tone [2022-2022],2020,18000,Petrol,Automatic,1,1353,5,1875000
Thar LX 4-STR Hard Top Diesel AT,2022,11000,Diesel,Automatic,1,2184,4,1825000
Discovery Sport HSE 7-Seater,2018,57300,Diesel,Automatic,1,2179,7,4459000
5-Series 525d Sedan,2010,74000,Diesel,Automatic,2,2497,5,1195000
Glanza G CVT,2019,25000,Petrol,Automatic,1,1197,5,790000
Creta 1.6 SX Plus AT Petrol,2017,39000,Petrol,Automatic,2,1591,5,1095000
Innova 2.4 G 7 STR [2016-2017],2020,45000,Diesel,Manual,1,2393,7,1950000
Polo GT TSI,2015,80852,Petrol,Automatic,2,1198,5,525000
MU-X 4x2,2018,75592,Diesel,Automatic,1,2999,7,2100000
Alto VXi,2014,54420,Petrol,Manual,1,998,5,270000
Corolla Altis G AT Petrol,2015,39780,Petrol,Automatic,1,1798,5,894999
i10 Sportz 1.2 AT Kappa2,2013,78301,Petrol,Automatic,2,1197,5,335000
Hexa XE 4x2 7 STR,2018,38000,Diesel,Manual,1,2179,7,1000000
i10 Sportz 1.2,2009,126535,Petrol,Manual,1,1197,5,220000
Creta 1.6 SX Plus AT Petrol,2016,37079,Petrol,Automatic,1,1591,5,960000
GLS 350 d,2018,87200,Diesel,Automatic,1,2987,7,7200000
Q3 2.0 TDI quattro Premium Plus,2014,51000,Diesel,Automatic,2,1968,5,1300000
Polo Comfortline 1.2L (P),2013,39000,Petrol,Manual,1,1198,5,375000
Ritz VXI BS-IV,2011,90000,Petrol,Manual,2,,,300000
XE Prestige Diesel,2017,29999,Diesel,Automatic,1,1999,5,3299000
Safari 4x2 EX TCIC,2014,100472,Diesel,Manual,1,1948,7,565000
Q3 35 TDI Premium + Sunroof,2016,84700,Diesel,Automatic,1,1968,5,1798999
Alto LXi BS-III,2008,19759,Petrol,Manual,1,796,5,189000
XF 3.0 V6 Premium Luxury,2014,66000,Diesel,Automatic,1,,,1875000
Verna Fluidic 1.6 VTVT SX Opt,2014,56000,Petrol,Manual,1,1591,5,545000
Venue SX 1.0 Turbo iMT,2022,3383,Petrol,Manual,1,998,5,1085000
Vitara Brezza VDi,2018,42000,Diesel,Manual,1,1248,5,725000
X3 xDrive20d,2012,65000,Diesel,Automatic,2,1995,5,1090000
WR-V VX MT Petrol,2019,17000,Petrol,Manual,1,1199,5,900000
5-Series 520d Luxury Line [2017-2019],2016,38000,Diesel,Automatic,2,1995,5,3400000
Amaze 1.5 S i-DTEC,2014,62500,Diesel,Manual,1,1498,5,295000
Harrier XZA Plus Dual Tone,2021,30229,Diesel,Automatic,1,1956,5,2251000
911 Carrera 4,2019,9000,Petrol,Automatic,1,3436,4,9300000
Wagon R LXI CNG (O),2016,26600,CNG,Manual,1,998,5,430000
Ciaz Delta 1.3 Hybrid,2017,86000,Diesel,Manual,2,1248,5,600000
Tucson GL 2WD AT Petrol,2017,86000,Petrol,Automatic,1,1999,5,1595000
Polo 1.2 TDI,2014,125000,Diesel,Manual,1,,,290000
i20 Sportz 1.2,2013,29135,Petrol,Manual,1,1197,5,375000
V40 D3 Kinetic,2015,50965,Diesel,Automatic,1,1984,5,1200000
Fortuner 3.0 4x2 AT,2014,72000,Diesel,Automatic,1,2982,7,1525000
C-Class C 200 Avantgarde,2016,28000,Petrol,Automatic,1,1991,5,2675000
Jazz V AT Petrol,2015,42000,Petrol,Automatic,1,1199,5,545000
S-Class S 350D [2018-2020],2017,11850,Diesel,Automatic,1,2925,5,7900000
Jazz S,2010,32000,Petrol,Manual,1,1198,5,195000
3-Series 320d Luxury Edition,2021,24000,Diesel,Automatic,1,1995,5,4550000
Evoque HSE Dynamic,2015,50623,Diesel,Automatic,2,2179,5,2499000
Xylo D2 BS-IV,2012,85000,Diesel,Manual,4,2489,7,210000
Venue SX 1.5 CRDi,2022,1700,Diesel,Manual,1,1493,5,1097000
Polo GT TSI,2020,43260,Petrol,Automatic,1,1197,5,1095000
Wagon R LXI CNG,2015,67738,CNG,Manual,2,998,5,325000
Scorpio S11 4WD 7 STR,2019,69000,Diesel,Manual,1,2179,7,1375000
A4 2.0 TDI (143 bhp),2012,93417,Diesel,Automatic,1,,,975000
Swift VXi,2021,14722,Petrol,Manual,1,1197,5,745000
Innova 2.4 VX 7 STR [2016-2020],2017,29000,Diesel,Manual,1,2393,7,2175000
Compass Limited (O) 1.4 Petrol AT [2017-2020],2017,60200,Petrol,Automatic,1,1368,5,1250000
Swift VDi,2017,140000,Diesel,Manual,1,1248,5,500000
WR-V S MT Petrol,2017,23798,Petrol,Manual,1,1199,5,625000
City 1.5 S MT,2011,55000,Petrol,Manual,1,1497,5,250000
Vento TSI,2017,51000,Petrol,Automatic,1,1197,5,650000
Brio S MT,2014,49000,Petrol,Manual,2,1198,5,310000
Duster RXL Petrol,2017,48000,Petrol,Manual,1,1498,5,600000
5-Series 520d Sedan,2013,121000,Diesel,Automatic,1,1995,5,1400000
Fiesta Style Diesel [2011-2014],2013,74000,Diesel,Manual,1,1498,5,295000
XUV500 W8,2012,102000,Diesel,Manual,2,2179,7,484999
